lon,lat,sex,education,age,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,random ID,sex_divining_ability_reordered
80.19210815,13.0579071,1,4,5,5,40,20,10,5,15,15,50803,1
-35.70899963,-9.649703979,1,4,5,3,50,50,25,3,50,50,66343,3
-97.8219986,37.75100708,1,4,5,3,40,40,20,3,30,35,13326,3
-104.7863007,39.62530518,0,5,9,1,50,55,25,1,50,50,92010,5
-117.9617004,34.00320435,0,3,4,4,80,65,90,3,85,35,92926,2
-73.62419891,45.53649902,1,4,7,2,50,45,25,2,25,50,73225,4
-97.8219986,37.75100708,0,6,5,3,50,40,45,1,25,50,28098,3
-90.51999664,36.05569458,0,4,4,1,50,55,25,3,50,50,90217,5
-87.63760376,41.87770081,0,5,8,4,30,55,35,2,25,75,13308,2
3.390304565,6.447402954,1,5,4,3,30,35,35,3,35,35,71520,3
-118.2440033,34.05439758,1,4,6,4,80,75,80,4,85,50,38735,2
80.19210815,13.0579071,1,4,2,4,25,25,25,5,40,35,77623,2
-122.5214996,45.66520691,0,1,4,4,5,5,5,4,5,5,76166,2
80.19210815,13.0579071,1,4,4,5,25,70,15,4,60,10,25516,1
80.19210815,13.0579071,1,4,4,4,95,100,90,5,95,100,54962,2
-76.0236969,36.82820129,1,4,4,3,80,25,80,3,50,50,84809,3
78.47439575,17.37530518,0,5,5,3,10,40,60,2,70,60,86755,3
77.00601196,20.00630188,1,4,4,4,95,100,95,5,100,95,11493,2
-79.95570374,40.44419861,1,5,3,2,20,50,25,3,50,50,69973,4
80.19210815,13.0579071,1,6,3,4,90,90,25,5,95,40,73381,2
77.00601196,20.00630188,1,4,4,4,100,90,80,4,90,80,44326,2
76.26528931,9.940597534,0,4,4,4,10,65,10,4,80,15,76327,2
-98.64980316,29.45509338,1,3,4,1,50,70,25,3,50,50,86275,5
77.00601196,20.00630188,1,4,4,4,95,95,100,4,100,90,11594,2
-119.1031036,35.30439758,0,4,5,2,50,50,40,1,30,50,66036,4
80.19210815,13.0579071,1,4,4,5,85,100,95,4,100,95,17673,1
80.19210815,13.0579071,1,5,4,3,20,50,10,2,20,65,17822,3
77.35449219,11.10670471,1,5,7,3,40,20,10,3,25,5,22985,3
9.152099609,48.7348938,1,5,6,3,0,0,10,2,20,25,26914,3
121.0132141,14.66490173,0,4,4,3,50,50,50,2,25,50,54101,3
77.2197876,28.63270569,1,6,4,3,40,40,15,3,30,50,29388,3
80.19210815,13.0579071,0,4,5,3,30,45,10,3,40,35,45279,3
-98.64980316,29.45509338,0,4,3,2,50,40,60,3,50,50,47801,4
-110.9766998,32.19430542,0,4,7,2,20,25,50,3,45,60,57521,4
80.64651489,16.5032959,1,5,5,4,60,60,50,4,50,65,78616,2
77.58551025,12.96339417,1,5,9,3,0,20,60,5,80,70,61777,3
78.47439575,17.37530518,1,5,5,3,25,40,40,2,40,20,84976,3
-79.4151001,40.04179382,1,4,6,3,50,55,25,3,50,50,86571,3
80.19210815,13.0579071,1,4,5,4,85,40,80,2,10,15,65623,2
